method,accuracy,tool
cosine,0.3332335329341317,numbat_cat
cosine,0.32936979785969084,numbat_cat
cosine,0.33353098132226505,numbat_cat
cosine,0.3253873659117998,numbat_cat
cosine,0.3285841495992876,numbat_cat
cosine,0.3296605122096486,numbat_cat
cosine,0.3335325762104005,numbat_cat
cosine,0.32849955608168097,numbat_cat
cosine,0.3356205250596659,numbat_cat
cosine,0.3333333333333333,numbat_cat
cosine,0.321301775147929,numbat_cat
cosine,0.3285629099582588,numbat_cat
cosine,0.3244286138319976,numbat_cat
cosine,0.3302533532041729,numbat_cat
cosine,0.3290496114763897,numbat_cat
cosine,0.32986935866983375,numbat_cat
cosine,0.3200836820083682,numbat_cat
cosine,0.3249475890985325,numbat_cat
cosine,0.3302725118483412,numbat_cat
cosine,0.33283448069440286,numbat_cat
cosine,0.3222650459531574,numbat_cat
cosine,0.33007696862048547,numbat_cat
cosine,0.32403560830860534,numbat_cat
cosine,0.33223978526692516,numbat_cat
cosine,0.3270440251572327,numbat_cat
cosine,0.3314623338257016,numbat_cat
cosine,0.3268206039076377,numbat_cat
cosine,0.3279473369239976,numbat_cat
cosine,0.3273968536657762,numbat_cat
cosine,0.33263847528290647,numbat_cat
cosine,0.3322378249178369,numbat_cat
cosine,0.32004759071980965,numbat_cat
cosine,0.3335325762104005,numbat_cat
cosine,0.33562874251497005,numbat_cat
cosine,0.330556382029158,numbat_cat
cosine,0.3319377990430622,numbat_cat
cosine,0.32956236975290265,numbat_cat
cosine,0.32713085234093636,numbat_cat
cosine,0.3289708506841166,numbat_cat
cosine,0.3329366260041654,numbat_cat
cosine,0.32988165680473375,numbat_cat
cosine,0.3347305389221557,numbat_cat
cosine,0.335832083958021,numbat_cat
cosine,0.3239478363959692,numbat_cat
cosine,0.32592592592592595,numbat_cat
cosine,0.3293768545994065,numbat_cat
cosine,0.32986007740398926,numbat_cat
cosine,0.3271696987772144,numbat_cat
cosine,0.32459016393442625,numbat_cat
cosine,0.3298785904649097,numbat_cat
cosine,0.3270609318996416,numbat_cat
cosine,0.3247376311844078,numbat_cat
cosine,0.33541852844801906,numbat_cat
cosine,0.3274992583803026,numbat_cat
cosine,0.3250296559905101,numbat_cat
cosine,0.32785415421398684,numbat_cat
cosine,0.3294048320565704,numbat_cat
cosine,0.3275044457617072,numbat_cat
cosine,0.3294677371394588,numbat_cat
cosine,0.32719714964370544,numbat_cat
cosine,0.3313521545319465,numbat_cat
cosine,0.3326378539493294,numbat_cat
cosine,0.32443653618030843,numbat_cat
cosine,0.3207826860361696,numbat_cat
cosine,0.32974910394265233,numbat_cat
cosine,0.3313361294188137,numbat_cat
cosine,0.3315508021390374,numbat_cat
cosine,0.33244127267320844,numbat_cat
cosine,0.33224173861268236,numbat_cat
