Experiment,ident,statistic,p,p_corr
line2line_all,numbat_cat_cosine,0.5169596488572067,9.852870921772501e-35,2.16763160278995e-33
line2line_all,numbat_cn_cosine,0.22029098713073625,3.5504395742903566e-41,7.810967063438785e-40
line2line_all,rna_cosine,0.8887212726928972,1.5455526873405058e-18,3.4002159121491127e-17
line2line_all,copyvae_cosine,0.9965865522168562,0.3698245166260857,1
line2line_all,copykat_cosine,0.9258209877907803,5.245113518955514e-15,1.153924974170213e-13
line2line_all,numbat_cat_pearson,0.7315204340108123,1.3073141926101824e-27,2.8760912237424013e-26
line2line_all,numbat_cn_pearson,0.8221504141450591,3.969487103499623e-23,8.73287162769917e-22
line2line_all,rna_pearson,0.42557907712453613,5.346676842579001e-37,1.1762689053673802e-35
line2line_all,copyvae_pearson,0.9626543765958634,5.879556198030486e-10,1.293502363566707e-8
line2line_all,copykat_pearson,0.5159609798664367,9.268267808291206e-35,2.0390189178240655e-33
line2line_all,numbat_cat_spearman,0.633035181592156,2.7140445394144783e-31,5.970897986711852e-30
line2line_all,numbat_cn_spearman,0.7022877793305731,8.419116402854508e-29,1.8522056086279917e-27
line2line_all,rna_spearman,0.3410194877949373,7.57211501296194e-39,1.6658653028516268e-37
line2line_all,copyvae_spearman,0.8627962121360784,1.60802153761391e-20,3.5376473827506023e-19
line2line_all,copykat_spearman,0.4233665592185075,4.753007429910075e-37,1.0456616345802165e-35
line2line_all,numbat_cat_kendall,0.633035181592156,2.7140445394144783e-31,5.970897986711852e-30
line2line_all,numbat_cn_kendall,0.771242268496473,8.112001661600575e-26,1.7846403655521266e-24
line2line_all,rna_kendall,0.6466099532532474,7.775747335579201e-31,1.7106644138274244e-29
line2line_all,copyvae_kendall,0.9307044812377858,1.8738304760098633e-14,4.122427047221699e-13
line2line_all,copykat_kendall,0.49566163660792684,2.731459736799095e-35,6.0092114209580094e-34
line2line_all,other_random,0.9953450729137125,0.140517268887441,1
line2line_all,other_macrodna,0.9982926656215743,0.9087404695834506,1
line2line_peo,numbat_cat_cosine,0.998483152857764,0.947105301840823,1
